Timestamp(ms),Corrente(mA)
148945,-30.00
149058,-30.50
149171,-30.10
149284,-30.00
149397,-30.10
149510,-39.30
149623,-30.10
149736,-30.30
149849,-30.10
149962,-30.00
150075,-29.90
150188,-30.70
150301,-35.80
150414,-29.80
150527,-35.10
150640,-30.30
150753,-30.00
150866,-33.50
150979,-35.80
151092,-35.90
151205,-29.90
151318,-34.30
151431,-29.90
151544,-30.10
151657,-30.00
151770,-30.10
151883,-29.90
151996,-30.50
152109,-30.20
152222,-35.70
152335,-34.30
152448,-30.40
152561,-30.40
152674,-30.40
152787,-34.80
152900,-36.10
153013,-36.00
153126,-30.30
153239,-34.50
153352,-30.00
153465,-30.10
153578,-30.20
153691,-34.30
153804,-30.30
153917,-35.90
154030,-29.90
154143,-30.10
154256,-34.40
154369,-33.60
154482,-36.00
154595,-36.10
154708,-34.50
154821,-30.00
154934,-36.00
155047,-30.10
155160,-29.60
155273,-30.30
155386,-30.10
155499,-30.40
155612,-37.30
155725,-39.20
155838,-35.30
155951,-29.80
156064,-36.20
156177,-30.30
156290,-30.00
156403,-35.30
156516,-29.90
156629,-33.30
156742,-30.10
156855,-34.20
156968,-30.40
157081,-29.90
157194,-30.00
157307,-29.90
157420,-30.40
157533,-29.90
157646,-30.10
157759,-34.30
157872,-29.80
157985,-30.10
158098,-34.20
158211,-30.00
158324,-34.40
158437,-30.30
158550,-35.00
158663,-30.20
158776,-30.10
158889,-39.30
159002,-38.70
159115,-31.60
159228,-30.20
159341,-30.10
159454,-30.10
159567,-30.00
159680,-30.00
159793,-36.40
159906,-30.30
160019,-35.30
160132,-36.40
160245,-33.20
160358,-30.60
160471,-29.90
160584,-34.30
160697,-30.00
160810,-35.60
160923,-34.70
161036,-30.20
161149,-36.00
161262,-34.60
161375,-29.90
161488,-34.30
161601,-34.90
161714,-30.30
161827,-33.80
161940,-30.20
162053,-33.20
162166,-35.70
162279,-30.20
162392,-30.00
162505,-30.10
162618,-35.40
162731,-34.60
162844,-35.40
162957,-30.30
163070,-39.20
163183,-36.30
163296,-30.10
163409,-34.60
163522,-34.60
163635,-30.00
163748,-30.50
163861,-30.10
163974,-29.80
164087,-35.00
164200,-34.60
164313,-34.60
164426,-30.20
164539,-35.50
164652,-35.30
164765,-34.10
164878,-35.40
164991,-34.80
165104,-34.60
165217,-34.70
165330,-33.60
165443,-33.60
165556,-29.90
165669,-30.30
165782,-30.00
165895,-30.00
166008,-30.30
166121,-35.10
166234,-30.10
166347,-30.40
166460,-35.40
166573,-30.20
166686,-33.30
166799,-30.10
166912,-30.30
167025,-30.00
167138,-35.30
167251,-29.90
167364,-30.00
167477,-30.60
167590,-36.00
167703,-30.10
167816,-34.70
167929,-35.20
168042,-30.40
168155,-30.40
168268,-30.50
168381,-30.00
168494,-36.00
168607,-30.10
168720,-30.40
168833,-30.00
168946,-36.20
169059,-29.80
169172,-30.30
169285,-30.40
169398,-30.40
169511,-34.60
169624,-29.90
169737,-30.00
169850,-29.90
169963,-34.90
170076,-29.90
170189,-36.20
170302,-29.90
170415,-29.60
170528,-34.40
170641,-30.10
170754,-34.40
170867,-30.00
170980,-34.30
171093,-30.10
171206,-30.10
171319,-29.90
171432,-35.50
171545,-35.70
171658,-30.60
171771,-30.10
171884,-34.30
171997,-30.00
172110,-35.90
172223,-34.90
172336,-34.40
172449,-34.80
172562,-39.20
172675,-39.10
172788,-34.50
172901,-33.90
173014,-30.90
173127,-30.40
173240,-36.00
173353,-30.20
173466,-29.80
173579,-29.90
173692,-35.90
173805,-29.80
173918,-30.60
174031,-30.10
174144,-35.50
174257,-30.40
174370,-29.90
174483,-30.30
174596,-29.80
174709,-34.50
174822,-30.10
174935,-29.90
175048,-30.20
175161,-30.40
175274,-36.20
175387,-30.00
175500,-33.60
175613,-34.60
175726,-34.60
175839,-30.10
175952,-35.90
176065,-30.20
176178,-30.40
176291,-38.30
176404,-30.10
176517,-30.30
176630,-30.50
176743,-30.10
176856,-30.00
176969,-30.00
177082,-36.20
177195,-34.80
177308,-34.70
177421,-36.20
177534,-35.80
177647,-34.70
177760,-34.40
177873,-30.40
177986,-30.50
178099,-30.00
178212,-29.90
178325,-30.50
178438,-30.50
178551,-30.00
178664,-29.90
178777,-30.10
178890,-33.60
179003,-30.30
179116,-30.10
179229,-30.20
179342,-34.60
179455,-30.00
179568,-30.30
179681,-29.80
179794,-30.00
179907,-30.20
180020,-36.10
180133,-30.20
180246,-34.40
180359,-38.30
180472,-34.80
180585,-34.30
180698,-35.10
180811,-34.40
180924,-36.20
181037,-30.20
181150,-30.10
181263,-36.20
181376,-29.90
181489,-35.90
181602,-35.70
181715,-30.00
181828,-35.40
181941,-30.00
182054,-30.40
182167,-35.60
182280,-30.30
182393,-33.80
182506,-34.50
182619,-30.20
182732,-29.90
182845,-38.10
182958,-39.00
183071,-30.30
183184,-30.10
183297,-35.30
183410,-30.10
183523,-29.90
183636,-30.10
183749,-34.40
183862,-30.00
183975,-29.90
184088,-30.00
184201,-30.20
184314,-29.50
184427,-30.30
184540,-30.10
184653,-29.70
184766,-33.80
184879,-30.10
184992,-34.60
185105,-34.80
185218,-30.20
