Timestamp(ms),Corrente(mA)
64308,-29.80
64421,-34.50
64534,-29.30
64647,-35.20
64760,-33.80
64873,-29.40
64986,-34.40
65099,-29.40
65212,-33.70
65325,-34.00
65438,-30.70
65551,-34.00
65664,-35.00
65777,-29.60
65890,-29.20
66003,-29.80
66116,-29.20
66229,-35.30
66342,-35.30
66455,-35.10
66568,-34.30
66681,-29.50
66794,-35.20
66907,-29.30
67020,-35.20
67133,-29.30
67246,-33.90
67359,-29.40
67472,-29.40
67585,-29.50
67698,-35.30
67811,-29.60
67924,-29.50
68037,-29.80
68150,-35.40
68263,-30.20
68376,-34.20
68489,-29.10
68602,-29.30
68715,-29.50
68828,-29.80
68941,-29.40
69054,-29.40
69167,-29.10
69280,-33.50
69393,-29.80
69506,-34.10
69619,-35.30
69732,-29.20
69845,-33.70
69958,-29.60
70071,-33.70
70184,-34.20
70297,-35.10
70410,-30.00
70523,-29.60
70636,-29.60
70749,-29.50
70862,-29.30
70975,-29.50
71088,-34.80
71201,-33.70
71314,-29.30
71427,-29.30
71540,-35.00
71653,-29.20
71766,-29.40
71879,-29.40
71992,-29.40
72105,-35.20
72218,-29.90
72331,-29.80
72444,-29.50
72557,-29.50
72670,-35.00
72783,-29.20
72896,-33.70
73009,-37.60
73122,-38.30
73235,-35.20
73348,-29.80
73461,-35.20
73574,-29.40
73687,-29.60
73800,-31.10
73913,-34.30
74026,-33.50
74139,-29.10
74252,-33.90
74365,-35.30
74478,-33.60
74591,-33.90
74704,-35.40
74817,-29.90
74930,-34.70
75043,-29.40
75156,-29.30
75269,-29.50
75382,-29.20
75495,-29.30
75608,-33.30
75721,-33.70
75834,-33.80
75947,-34.90
76060,-29.60
76173,-33.70
76286,-34.20
76399,-29.50
76512,-39.00
76625,-30.80
76738,-29.70
76851,-29.30
76964,-29.90
77077,-35.20
77190,-29.50
77303,-29.40
77416,-29.40
77529,-29.30
77642,-29.80
77755,-29.60
77868,-29.90
77981,-29.50
78094,-29.20
78207,-29.10
78320,-29.80
78433,-34.60
78546,-35.60
78659,-29.50
78772,-32.80
78885,-29.70
78998,-29.70
79111,-34.30
79224,-33.60
79337,-29.50
79450,-35.00
79563,-33.70
79676,-29.50
79789,-29.30
79902,-29.50
80015,-28.90
80128,-30.10
80241,-29.40
80354,-34.50
80467,-34.30
80580,-29.60
80693,-33.80
80806,-29.30
80919,-29.30
81032,-34.40
81145,-29.20
81258,-29.80
81371,-29.70
81484,-29.20
81597,-34.20
81710,-29.60
81823,-33.90
81936,-29.20
82049,-35.10
82162,-29.40
82275,-29.50
82388,-35.20
